Path,Heroes,Talents,Exp,Win
"['bush1', 'tree4', 'bush4', 'cave']","[('molli', 'cleric'), ('wuhani', 'wizard'), ('heijo', 'cleric')]","{'molli': ['Domain Flame'], 'wuhani': ['Acid Splash'], 'heijo': ['Domain Tempest']}",8,False
"['tree1', 'tree2', 'bush2', 'cave']","[('seino', 'cleric'), ('fantti', 'cleric'), ('zaku', 'paladin')]","{'seino': ['Domain Tempest'], 'fantti': ['Domain Flame'], 'zaku': ['Inspiring Presence']}",11,False
"['bush1', 'tree3', 'bush4', 'cave']","[('seino', 'cleric'), ('wuhani', 'wizard'), ('auri', 'thief')]","{'seino': ['Domain Warmth'], 'wuhani': ['Burn'], 'auri': ['Agile']}",9,False
"['bush1', 'tree3', 'bush4', 'cave']","[('tekka', 'barbarian'), ('insio', 'thief'), ('feetu', 'paladin')]","{'tekka': ['Iron Skin', 'Primal Brutality'], 'insio': ['Deadly', 'Precise Strikes'], 'feetu': ['Protective Presence', 'Holy Presence']}",18,False
"['bush1', 'tree4', 'bush4', 'cave']","[('feetu', 'paladin'), ('molli', 'cleric'), ('wuhani', 'wizard')]","{'feetu': ['Inspiring Presence'], 'molli': ['Domain Stone'], 'wuhani': ['Icicle']}",8,False
"['bush1', 'tree3', 'bush4', 'cave']","[('fantti', 'cleric'), ('surho', 'warrior'), ('tyrki', 'wizard')]","{'fantti': ['Domain War'], 'surho': ['Prepared', 'Armored'], 'tyrki': ['Lightning Zap', 'Acid Splash']}",18,False
"['bush1', 'tree3', 'bush4', 'cave']","[('wuhani', 'wizard'), ('domi', 'barbarian'), ('heijo', 'cleric')]","{'wuhani': ['Freezing Wind'], 'domi': ['Rage'], 'heijo': ['Domain Stone']}",9,False
"['bush1', 'tree3', 'bush4', 'cave']","[('duomo', 'warrior'), ('heijo', 'cleric'), ('auri', 'thief')]","{'duomo': ['Threatening'], 'heijo': ['Domain Warmth', 'Comfort'], 'auri': ['Deadly', 'Agile']}",18,False
"['bush1', 'tree4', 'bush4', 'cave']","[('baawo', 'wizard'), ('domi', 'barbarian'), ('insio', 'thief')]","{'baawo': ['Icicle'], 'domi': ['Intimidating Presence'], 'insio': ['Inconspicuous']}",8,False
"['bush1', 'tree3', 'bush4', 'cave']","[('pouko', 'ranger'), ('fantti', 'cleric'), ('seino', 'cleric')]","{'pouko': ['Hunter'], 'fantti': ['Domain War'], 'seino': ['Domain Warmth']}",9,False
"['bush1', 'tree4', 'bush4', 'cave']","[('zaku', 'paladin'), ('yanne', 'ranger'), ('heijo', 'cleric')]","{'zaku': ['Healing hands', 'Healing hands'], 'yanne': ['Hunter'], 'heijo': ['Domain War', 'Wrath']}",17,False
"['tree1', 'bush2', 'bush3', 'cave']","[('zaku', 'paladin'), ('heijo', 'cleric'), ('marvi', 'thief')]","{'zaku': ['Protective Presence', 'Overwhelming Presence'], 'heijo': ['Domain Stone', 'Dense'], 'marvi': ['Precise Strikes']}",16,False
"['bush1', 'tree3', 'bush4', 'cave']","[('bouko', 'warrior'), ('huho', 'bard'), ('marvi', 'thief')]","{'bouko': ['Well Rounded'], 'huho': ['Virtuoso'], 'marvi': ['Greedy']}",9,False
"['bush1', 'tree3', 'bush4', 'cave']","[('baawo', 'wizard'), ('domi', 'barbarian'), ('tekka', 'barbarian')]","{'baawo': ['Storm Child'], 'domi': ['Primal Brutality', 'Naturally Hardy'], 'tekka': ['Iron Skin', 'Intimidating Presence']}",18,False
"['tree1', 'bush2', 'bush3', 'cave']","[('seino', 'cleric'), ('yanne', 'ranger'), ('ohannes', 'wizard')]","{'seino': ['Domain Tempest'], 'yanne': ['Grudge'], 'ohannes': ['Burn', 'Icicle']}",16,False
"['bush1', 'tree4', 'bush4', 'cave']","[('yanne', 'ranger'), ('heijo', 'cleric'), ('ohannes', 'wizard')]","{'yanne': ['Grasping Roots'], 'heijo': ['Domain Warmth'], 'ohannes': ['Freezing Wind']}",8,False
"['bush1', 'tree3', 'bush4', 'cave']","[('molli', 'cleric'), ('domi', 'barbarian'), ('heijo', 'cleric')]","{'molli': ['Domain War'], 'domi': ['Rage'], 'heijo': ['Domain Tempest']}",9,False
"['bush1', 'tree3', 'bush4', 'cave']","[('zaku', 'paladin'), ('yanne', 'ranger'), ('bouko', 'warrior')]","{'zaku': ['Inspiring Presence', 'Protective Presence'], 'yanne': ['Hunter', 'Survival Skills'], 'bouko': ['Threatening']}",18,False
"['bush1', 'tree3', 'bush4', 'cave']","[('lustav', 'bard'), ('insio', 'thief'), ('tekka', 'barbarian')]","{'lustav': ['Rapid Tune'], 'insio': ['Nimble'], 'tekka': ['Iron Skin']}",9,False
"['bush1', 'tree3', 'bush4', 'cave']","[('zaku', 'paladin'), ('tyrki', 'wizard'), ('domi', 'barbarian')]","{'zaku': ['Inspiring Presence', 'Holy Presence'], 'tyrki': ['Icicle'], 'domi': ['Naturally Hardy', 'Rage']}",18,False
"['bush1', 'tree3', 'bush4', 'cave']","[('tyrki', 'wizard'), ('ohannes', 'wizard'), ('feetu', 'paladin')]","{'tyrki': ['Icicle'], 'ohannes': ['Fire Gush'], 'feetu': ['Overwhelming Presence']}",9,False
"['bush1', 'tree3', 'bush4', 'cave']","[('zaku', 'paladin'), ('yanne', 'ranger'), ('urri', 'thief')]","{'zaku': ['Protective Presence'], 'yanne': ['Hunter'], 'urri': ['Ambush']}",9,False
"['tree1', 'tree2', 'bush2', 'cave']","[('heijo', 'cleric'), ('ohannes', 'wizard'), ('pouko', 'ranger')]","{'heijo': ['Domain Warmth'], 'ohannes': ['Fire Gush'], 'pouko': ['Hunter']}",11,False
"['tree1', 'bush2', 'bush3', 'cave']","[('bouko', 'warrior'), ('seino', 'cleric'), ('meijo', 'warrior')]","{'bouko': ['Dangerous', 'Prepared'], 'seino': ['Domain War', 'Wrath'], 'meijo': ['Prepared']}",16,False
"['tree1', 'bush2', 'bush3', 'cave']","[('huho', 'bard'), ('surho', 'warrior'), ('feetu', 'paladin')]","{'huho': ['Lound Tune'], 'surho': ['Intimidating'], 'feetu': ['Holy Presence', 'Crusader']}",16,False
"['bush1', 'tree3', 'bush4', 'cave']","[('meijo', 'warrior'), ('auri', 'thief'), ('urri', 'thief')]","{'meijo': ['Well Rounded'], 'auri': ['Greedy'], 'urri': ['Agile']}",9,False
"['bush1', 'tree3', 'bush4', 'cave']","[('zaku', 'paladin'), ('domi', 'barbarian'), ('lustav', 'bard')]","{'zaku': ['Protective Presence'], 'domi': ['Rage'], 'lustav': ['Helpful tune']}",9,False
"['bush1', 'tree3', 'bush4', 'cave']","[('pouko', 'ranger'), ('huho', 'bard'), ('urri', 'thief')]","{'pouko': ['Survival Skills'], 'huho': ['Helpful tune'], 'urri': ['Greedy']}",9,False
"['tree1', 'bush2', 'bush3', 'cave']","[('huho', 'bard'), ('tyrki', 'wizard'), ('marvi', 'thief')]","{'huho': ['Rapid Tune'], 'tyrki': ['Dissolver'], 'marvi': ['Deadly']}",9,False
"['bush1', 'tree4', 'bush4', 'cave']","[('seino', 'cleric'), ('urri', 'thief'), ('surho', 'warrior')]","{'seino': ['Domain War', 'Wrath'], 'urri': ['Deadly', 'Deadly'], 'surho': ['Prepared', 'Well Rounded']}",17,False
"['bush1', 'tree4', 'bush4', 'cave']","[('duomo', 'warrior'), ('meijo', 'warrior'), ('fantti', 'cleric')]","{'duomo': ['Dangerous'], 'meijo': ['Armored', 'Armored'], 'fantti': ['Domain Flame', 'Flame Bolt']}",17,False
"['bush1', 'tree3', 'bush4', 'cave']","[('marvi', 'thief'), ('auri', 'thief'), ('surho', 'warrior')]","{'marvi': ['Inconspicuous'], 'auri': ['Nimble'], 'surho': ['Threatening']}",9,False
"['tree1', 'bush2', 'bush3', 'cave']","[('bouko', 'warrior'), ('urri', 'thief'), ('baawo', 'wizard')]","{'bouko': ['Dangerous'], 'urri': ['Agile', 'Ambush'], 'baawo': ['Lightning Zap', 'Storm Child']}",16,False
"['tree1', 'bush2', 'bush3', 'cave']","[('tekka', 'barbarian'), ('bouko', 'warrior'), ('marvi', 'thief')]","{'tekka': ['Primal Brutality', 'Naturally Hardy'], 'bouko': ['Well Rounded', 'Armored'], 'marvi': ['Deadly', 'Agile']}",16,False
"['bush1', 'tree3', 'bush4', 'cave']","[('domi', 'barbarian'), ('yanne', 'ranger'), ('baawo', 'wizard')]","{'domi': ['Primal Brutality'], 'yanne': ['Thorn Strike'], 'baawo': ['Dissolver']}",9,False
"['bush1', 'tree4', 'bush4', 'cave']","[('marvi', 'thief'), ('pouko', 'ranger'), ('duomo', 'warrior')]","{'marvi': ['Ambush'], 'pouko': ['Swift', 'Grudge'], 'duomo': ['Well Rounded']}",17,False
"['bush1', 'tree4', 'bush4', 'cave']","[('seino', 'cleric'), ('feetu', 'paladin'), ('auri', 'thief')]","{'seino': ['Domain Stone'], 'feetu': ['Healing hands'], 'auri': ['Inconspicuous']}",8,False
"['bush1', 'tree3', 'bush4', 'cave']","[('molli', 'cleric'), ('surho', 'warrior'), ('fantti', 'cleric')]","{'molli': ['Domain Flame'], 'surho': ['Prepared'], 'fantti': ['Domain Tempest']}",9,False
"['tree1', 'tree2', 'bush2', 'cave']","[('seino', 'cleric'), ('molli', 'cleric'), ('duomo', 'warrior')]","{'seino': ['Domain War'], 'molli': ['Domain War'], 'duomo': ['Armored']}",11,False
"['bush1', 'tree3', 'bush4', 'cave']","[('tekka', 'barbarian'), ('urri', 'thief'), ('tyrki', 'wizard')]","{'tekka': ['Intimidating Presence'], 'urri': ['Greedy'], 'tyrki': ['Acid Splash']}",9,False
"['bush1', 'tree4', 'bush4', 'cave']","[('insio', 'thief'), ('domi', 'barbarian'), ('urri', 'thief')]","{'insio': ['Nimble'], 'domi': ['Naturally Hardy'], 'urri': ['Greedy']}",8,False
"['tree1', 'tree2', 'bush2', 'cave']","[('pouko', 'ranger'), ('duomo', 'warrior'), ('huho', 'bard')]","{'pouko': ['Grasping Roots'], 'duomo': ['Intimidating'], 'huho': ['Nimble Fingers']}",11,False
"['bush1', 'tree3', 'bush4', 'cave']","[('wuhani', 'wizard'), ('auri', 'thief'), ('lustav', 'bard')]","{'wuhani': ['Burn'], 'auri': ['Inconspicuous'], 'lustav': ['Virtuoso']}",2,False
"['tree1', 'tree2', 'bush2', 'cave']","[('seino', 'cleric'), ('urri', 'thief'), ('bouko', 'warrior')]","{'seino': ['Domain Stone'], 'urri': ['Agile'], 'bouko': ['Threatening']}",11,False
"['tree1', 'bush2', 'bush3', 'cave']","[('insio', 'thief'), ('feetu', 'paladin'), ('lustav', 'bard')]","{'insio': ['Precise Strikes', 'Precise Strikes'], 'feetu': ['Inspiring Presence'], 'lustav': ['Nimble Fingers', 'Helpful tune']}",16,False
"['tree1', 'tree2', 'bush2', 'cave']","[('wuhani', 'wizard'), ('zaku', 'paladin'), ('molli', 'cleric')]","{'wuhani': ['Acid Splash'], 'zaku': ['Overwhelming Presence'], 'molli': ['Domain Stone']}",11,False
"['bush1', 'tree4', 'bush4', 'cave']","[('tyrki', 'wizard'), ('bouko', 'warrior'), ('zaku', 'paladin')]","{'tyrki': ['Dissolver'], 'bouko': ['Intimidating'], 'zaku': ['Smite']}",8,False
"['bush1', 'tree4', 'bush4', 'cave']","[('huho', 'bard'), ('seino', 'cleric'), ('duomo', 'warrior')]","{'huho': ['Virtuoso'], 'seino': ['Domain Tempest'], 'duomo': ['Intimidating']}",8,False
"['bush1', 'tree3', 'bush4', 'cave']","[('huho', 'bard'), ('seino', 'cleric'), ('zaku', 'paladin')]","{'huho': ['Rapid Tune'], 'seino': ['Domain Warmth'], 'zaku': ['Inspiring Presence']}",9,False
"['tree1', 'bush2', 'bush3', 'cave']","[('zaku', 'paladin'), ('urri', 'thief'), ('insio', 'thief')]","{'zaku': ['Smite'], 'urri': ['Precise Strikes', 'Agile'], 'insio': ['Ambush', 'Deadly']}",16,False
"['tree1', 'tree2', 'bush2', 'cave']","[('feetu', 'paladin'), ('yanne', 'ranger'), ('meijo', 'warrior')]","{'feetu': ['Crusader'], 'yanne': ['Green Power'], 'meijo': ['Intimidating']}",11,False
"['bush1', 'tree3', 'bush4', 'cave']","[('lustav', 'bard'), ('heijo', 'cleric'), ('domi', 'barbarian')]","{'lustav': ['Rapid Tune'], 'heijo': ['Domain Stone'], 'domi': ['Naturally Hardy']}",9,False
"['bush1', 'tree4', 'bush4', 'cave']","[('molli', 'cleric'), ('yanne', 'ranger'), ('zaku', 'paladin')]","{'molli': ['Domain War'], 'yanne': ['Grasping Roots'], 'zaku': ['Inspiring Presence']}",8,False
"['bush1', 'tree4', 'bush4', 'cave']","[('molli', 'cleric'), ('duomo', 'warrior'), ('yanne', 'ranger')]","{'molli': ['Domain Warmth'], 'duomo': ['Threatening'], 'yanne': ['Thorn Strike']}",8,False
"['tree1', 'bush2', 'bush3', 'cave']","[('tekka', 'barbarian'), ('lustav', 'bard'), ('surho', 'warrior')]","{'tekka': ['Intimidating Presence'], 'lustav': ['Rapid Tune'], 'surho': ['Well Rounded']}",9,False
"['bush1', 'tree3', 'bush4', 'cave']","[('zaku', 'paladin'), ('duomo', 'warrior'), ('wuhani', 'wizard')]","{'zaku': ['Holy Presence', 'Crusader'], 'duomo': ['Armored'], 'wuhani': ['Icicle', 'Fire Gush']}",18,False
"['bush1', 'tree4', 'bush4', 'cave']","[('domi', 'barbarian'), ('yanne', 'ranger'), ('pouko', 'ranger')]","{'domi': ['Iron Skin', 'Iron Skin'], 'yanne': ['Hunter', 'Green Power'], 'pouko': ['Thorn Strike', 'Hunter']}",17,False
"['tree1', 'tree2', 'bush2', 'cave']","[('feetu', 'paladin'), ('yanne', 'ranger'), ('auri', 'thief')]","{'feetu': ['Protective Presence'], 'yanne': ['Grasping Roots'], 'auri': ['Nimble']}",11,False
"['tree1', 'bush2', 'bush3', 'cave']","[('insio', 'thief'), ('heijo', 'cleric'), ('bouko', 'warrior')]","{'insio': ['Inconspicuous'], 'heijo': ['Domain Flame'], 'bouko': ['Armored']}",9,False
"['tree1', 'tree2', 'bush2', 'cave']","[('heijo', 'cleric'), ('marvi', 'thief'), ('urri', 'thief')]","{'heijo': ['Domain Flame'], 'marvi': ['Inconspicuous'], 'urri': ['Precise Strikes']}",11,False
"['bush1', 'tree4', 'bush4', 'cave']","[('seino', 'cleric'), ('duomo', 'warrior'), ('ohannes', 'wizard')]","{'seino': ['Domain War', 'Wrath'], 'duomo': ['Prepared'], 'ohannes': ['Storm Child']}",17,False
"['tree1', 'bush2', 'bush3', 'cave']","[('pouko', 'ranger'), ('duomo', 'warrior'), ('surho', 'warrior')]","{'pouko': ['Grudge', 'Swift'], 'duomo': ['Prepared', 'Well Rounded'], 'surho': ['Prepared', 'Armored']}",16,False
"['bush1', 'tree3', 'bush4', 'cave']","[('marvi', 'thief'), ('ohannes', 'wizard'), ('auri', 'thief')]","{'marvi': ['Deadly'], 'ohannes': ['Freezing Wind'], 'auri': ['Inconspicuous']}",9,False
"['tree1', 'tree2', 'bush2', 'cave']","[('zaku', 'paladin'), ('huho', 'bard'), ('lustav', 'bard')]","{'zaku': ['Smite'], 'huho': ['Helpful tune'], 'lustav': ['Lound Tune']}",11,False
